Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14530866,2021-07-13 16:16:15,2021-05-15 08:17:12,9826830,1985019660,9826830,202,605,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530866/SRR14530866.lite.1,SRX10875471,OC_12_21_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969111,SAMN19168024,simple,527639,wastewater metagenome,OC_12_21_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,63E06D1E7493A0290514D3C9CBA9B056,4880D1E2F0025D8B41E42BB0DCBDEE3B
SRR14530865,2021-07-13 16:16:15,2021-05-15 08:18:08,10140886,2048458972,10140886,202,585,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530865/SRR14530865.lite.1,SRX10875472,PL_01_03_2021_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969112,SAMN19168025,simple,527639,wastewater metagenome,PL_01_03_2021_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,7C577E5F71F0CEFD85DFFC68734BB7CC,E6023E43554E97B7C906BEBF8B1352CA
SRR14530864,2021-07-13 16:16:15,2021-05-15 08:18:07,10182955,2056956910,10182955,202,589,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530864/SRR14530864.lite.1,SRX10875473,PL_01_04_2021_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969113,SAMN19168026,simple,527639,wastewater metagenome,PL_01_04_2021_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,4EFB6768230DBC385E1590E9F443539C,E2753BE01BC0D42F72A9CEA321423392
SRR14530861,2021-07-13 16:16:15,2021-05-15 08:14:17,2920601,882021502,2920601,302,277,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530861/SRR14530861.lite.1,SRX10875476,JWPCP_8_11_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969116,SAMN19167903,simple,527639,wastewater metagenome,JWPCP_8_11_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,A5C3ADAF4189B67CC940214425385ED4,E31E61DBDE4C6340200C9EDBD25DF005
SRR14530863,2021-07-13 16:16:15,2021-05-15 08:18:43,10112554,2042735908,10112554,202,657,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530863/SRR14530863.lite.1,SRX10875474,PL_11_29_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969114,SAMN19168027,simple,527639,wastewater metagenome,PL_11_29_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,4407D6F8FE7A04A18BDD6558876EDA38,FF5453CB0AF6DA721E927E6A600816B8
SRR14530862,2021-07-13 16:16:15,2021-05-15 08:19:11,10775374,2176625548,10775374,202,625,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530862/SRR14530862.lite.1,SRX10875475,PL_11_30_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969115,SAMN19168028,simple,527639,wastewater metagenome,PL_11_30_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,626FEBB7303710E6CF804A600E0F3252,FBEFF5128B23A96225D6E2E0E01C8CB5
SRR14530860,2021-07-13 16:16:15,2021-05-15 08:16:14,8153083,1646922766,8153083,202,470,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530860/SRR14530860.lite.1,SRX10875477,PL_11_5_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969117,SAMN19168029,simple,527639,wastewater metagenome,PL_11_5_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,546B04964C5A8C0F4112FFE50B8A7588,B269BEFE69FC8DA4852351C5867D4B8F
SRR14530859,2021-07-13 16:16:15,2021-05-15 08:19:01,10305132,2081636664,10305132,202,611,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530859/SRR14530859.lite.1,SRX10875478,PL_12_14_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969118,SAMN19168030,simple,527639,wastewater metagenome,PL_12_14_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,063C2B58ACF979B62CB421822EF70961,16D276C3E4787014085BC9A4688F2A9B
SRR14530854,2021-07-13 16:16:15,2021-05-15 08:16:38,11601202,2343442804,11601202,202,665,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530854/SRR14530854.lite.1,SRX10875483,SJ_11_11_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969123,SAMN19168035,simple,527639,wastewater metagenome,SJ_11_11_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,65E9844EC7E06B214C76A050F3110F5E,B1B40B44F0A31BC702850AC31E80FC6D
SRR14530855,2021-07-13 16:16:15,2021-05-15 08:18:03,11389423,2300663446,11389423,202,659,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530855/SRR14530855.lite.1,SRX10875482,SB_11_5_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969122,SAMN19168034,simple,527639,wastewater metagenome,SB_11_5_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,719D3B4480ED29B6A2A317120C249852,26BA053170AD013DD13B109BBB7A7956
SRR14530856,2021-07-13 16:16:15,2021-05-15 08:17:48,11257694,2274054188,11257694,202,650,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530856/SRR14530856.lite.1,SRX10875481,SB_10_08_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969121,SAMN19168033,simple,527639,wastewater metagenome,SB_10_08_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,794E573FFC5F4F9EBC7C91684B04CA9B,7F064BFD810A081298A43DC407871E76
SRR14530857,2021-07-13 16:16:15,2021-05-15 08:17:25,8833468,1784360536,8833468,202,513,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530857/SRR14530857.lite.1,SRX10875480,PL_12_28_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969120,SAMN19168032,simple,527639,wastewater metagenome,PL_12_28_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,28A2D084BC1B8A633012F5DC37ED160B,5B6B90F525B66301C257A4C935CC168E
SRR14530858,2021-07-13 16:16:15,2021-05-15 08:17:08,9334593,1885587786,9334593,202,536,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530858/SRR14530858.lite.1,SRX10875479,PL_12_22_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969119,SAMN19168031,simple,527639,wastewater metagenome,PL_12_22_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,B91748CE0404C49A5701011884876367,B6EC01F628891148F1A3DF9A6E7E8B3E
SRR14530849,2021-07-13 16:16:15,2021-05-15 08:13:16,990379,200056558,990379,202,60,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530849/SRR14530849.lite.1,SRX10875488,HTP_01_03_2021,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969128,SAMN19168039,simple,527639,wastewater metagenome,HTP_01_03_2021,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,93D82A6E99F9156844FD60A5EB1FD09D,95556853D67D8605C325BE0F877B6074
SRR14530850,2021-07-13 16:16:15,2021-05-15 08:14:36,3034820,916515640,3034820,302,281,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530850/SRR14530850.lite.1,SRX10875487,JWPCP_8_18_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969127,SAMN19167904,simple,527639,wastewater metagenome,JWPCP_8_18_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,AF01E538C7DBAA95F443DC8DFA0B039E,CDFC0B8F773308046E72E6B1BFF22773
SRR14530853,2021-07-13 16:16:15,2021-05-15 08:18:35,13154158,2657139916,13154158,202,764,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530853/SRR14530853.lite.1,SRX10875484,SJ_11_18_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969124,SAMN19168036,simple,527639,wastewater metagenome,SJ_11_18_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,68ABC750767B32F7EA3A4D064D59E3DF,2B395B91EBE5C38652C80237BFDB4C81
SRR14530852,2021-07-13 16:16:15,2021-05-15 08:17:04,10232266,2066917732,10232266,202,588,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530852/SRR14530852.lite.1,SRX10875485,SJ_11_4_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969125,SAMN19168037,simple,527639,wastewater metagenome,SJ_11_4_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,5651F9CD3BC93251992C14C76C4D00BD,2D02AF3397957AB78D0BFB35919568B0
SRR14530851,2021-07-13 16:16:15,2021-05-15 08:17:20,10246075,2069707150,10246075,202,590,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530851/SRR14530851.lite.1,SRX10875486,SJ_9_23_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969126,SAMN19168038,simple,527639,wastewater metagenome,SJ_9_23_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,4435BA580743F2586A95597215665305,E7CB9F083204C8E4FFBE362A02672F4A
SRR14530848,2021-07-13 16:16:15,2021-05-15 08:13:25,1479324,298823448,1479324,202,85,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530848/SRR14530848.lite.1,SRX10875489,HTP_11_24_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969129,SAMN19168040,simple,527639,wastewater metagenome,HTP_11_24_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,D4DA6ED808C801024EA84DA30C602CFF,ABDB217794035124316F4FF1BD0EAD62
