Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14530880,2021-07-13 16:16:14,2021-05-15 08:19:17,13626688,2752590976,13626688,202,783,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530880/SRR14530880.lite.1,SRX10875457,HTP_9_29_2020_INF_unenriched,RNA-Seq,cDNA,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969097,SAMN19168011,simple,527639,wastewater metagenome,HTP_9_29_2020_INF_unenriched,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,7CA7E0AA4E66F018E00E176F7D63ED56,CB319FAD78860458B715959D822993B5
SRR14530849,2021-07-13 16:16:15,2021-05-15 08:13:16,990379,200056558,990379,202,60,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530849/SRR14530849.lite.1,SRX10875488,HTP_01_03_2021,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969128,SAMN19168039,simple,527639,wastewater metagenome,HTP_01_03_2021,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,93D82A6E99F9156844FD60A5EB1FD09D,95556853D67D8605C325BE0F877B6074
SRR14530848,2021-07-13 16:16:15,2021-05-15 08:13:25,1479324,298823448,1479324,202,85,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530848/SRR14530848.lite.1,SRX10875489,HTP_11_24_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969129,SAMN19168040,simple,527639,wastewater metagenome,HTP_11_24_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,D4DA6ED808C801024EA84DA30C602CFF,ABDB217794035124316F4FF1BD0EAD62
SRR14530847,2021-07-13 16:16:15,2021-05-15 08:13:10,1073151,216776502,1073151,202,62,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530847/SRR14530847.lite.1,SRX10875490,HTP_11_3_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969130,SAMN19168041,simple,527639,wastewater metagenome,HTP_11_3_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,96557EE586CD1D503A8AC05F480749BE,39A3DDBC93770F7C9C1E39F0915D9E5B
SRR14530846,2021-07-13 16:16:15,2021-05-15 08:13:16,1264824,255494448,1264824,202,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530846/SRR14530846.lite.1,SRX10875491,HTP_12_04_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969131,SAMN19168042,simple,527639,wastewater metagenome,HTP_12_04_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,D6963D8012D51FFC453709C24EA82157,2BCB18C4C1C061AC412933E822692CA3
SRR14530845,2021-07-13 16:16:15,2021-05-15 08:13:17,1298420,262280840,1298420,202,76,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530845/SRR14530845.lite.1,SRX10875492,HTP_12_22_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969132,SAMN19168043,simple,527639,wastewater metagenome,HTP_12_22_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,2D3841D61EE5B568F7D516168A3FD701,06CE3F5EBED6E05E3F8C8EC905541F19
SRR14530844,2021-07-13 16:16:15,2021-05-15 08:13:02,1142935,230872870,1142935,202,77,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530844/SRR14530844.lite.1,SRX10875493,HTP_12_29_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969133,SAMN19168044,simple,527639,wastewater metagenome,HTP_12_29_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,FBF9431AE51E9CB95A265C14067C52B0,63065F1A8815EF78CD998090941FC887
SRR14530843,2021-07-13 16:16:15,2021-05-15 08:13:15,1294643,261517886,1294643,202,75,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530843/SRR14530843.lite.1,SRX10875494,HTP_9_22_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969134,SAMN19168045,simple,527639,wastewater metagenome,HTP_9_22_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,706675A46194A61B106D87C47F8905D2,3E90100EFBC948501714BAEC8088C2FD
SRR14530842,2021-07-13 16:16:15,2021-05-15 08:13:18,1603711,323949622,1603711,202,93,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530842/SRR14530842.lite.1,SRX10875495,HTP_9_29_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969135,SAMN19168046,simple,527639,wastewater metagenome,HTP_9_29_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,F3C2ABAB03FEA05C58256056EE17E040,F1642E64DCD0B87D5C819F5CAAFED175
SRR14530820,2021-07-13 16:16:15,2021-05-15 08:13:50,3441208,1039244816,3441208,302,317,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14530/SRR14530820/SRR14530820.lite.1,SRX10875518,HTP_10_02_2020,Targeted-Capture,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319776,PRJNA729801,,729801,SRS8969158,SAMN19167889,simple,527639,wastewater metagenome,HTP_10_02_2020,,,,,,,no,,,,,UNIVERSITY OF CALIFORNIA RIVERSIDE,SRA1232121,,public,23D65E75D53BA5AC6B1CCBE901B166BE,5AA6DE29AD636FE9655FFFE58AB2D5AE
